name,alias,releaseDate,classes
Alistar,the Minotaur,2009-02-21,Vanguard
Annie,the Dark Child,2009-02-21,Burst
Ashe,the Frost Archer,2009-02-21,Marksman
Fiddlesticks,the Ancient Fear,2009-02-21,Specialist
Jax,Grandmaster at Arms,2009-02-21,Skirmisher
Kayle,the Righteous,2009-02-21,Specialist
Master Yi,the Wuju Bladesman,2009-02-21,Skirmisher
Morgana,the Fallen,2009-02-21,Catcher
Nunu & Willump,the Boy and His Yeti,2009-02-21,Vanguard
Ryze,the Rune Mage,2009-02-21,Battlemage
Sion,The Undead Juggernaut,2009-02-21,Vanguard
Sivir,the Battle Mistress,2009-02-21,Marksman
Soraka,the Starchild,2009-02-21,Enchanter
Teemo,the Swift Scout,2009-02-21,Specialist
Tristana,the Yordle Gunner,2009-02-21,Marksman
Twisted Fate,the Card Master,2009-02-21,Burst
Warwick,the Uncaged Wrath of Zaun,2009-02-21,Diver
Singed,the Mad Chemist,2009-04-18,Specialist
Zilean,the Chronokeeper,2009-04-18,Specialist
Evelynn,Agony's Embrace,2009-05-01,Assassin
Tryndamere,the Barbarian King,2009-05-01,Skirmisher
Twitch,the Plague Rat,2009-05-01,Marksman
Karthus,the Deathsinger,2009-06-12,Battlemage
Amumu,the Sad Mummy,2009-06-26,Vanguard
Cho'Gath,the Terror of the Void,2009-06-26,Specialist
Anivia,the Cryophoenix,2009-07-10,Battlemage
Rammus,the Armordillo,2009-07-10,Vanguard
Veigar,the Tiny Master of Evil,2009-07-24,Burst
Kassadin,the Void Walker,2009-08-07,Assassin
Gangplank,the Saltwater Scourge,2009-08-19,Specialist
Taric,the Shield of Valoran,2009-08-19,Enchanter+Warden
Blitzcrank,the Great Steam Golem,2009-09-02,Catcher
Dr. Mundo,the Madman of Zaun,2009-09-02,Juggernaut
Janna,the Storm's Fury,2009-09-02,Enchanter
Malphite,Shard of the Monolith,2009-09-02,Vanguard
Corki,the Daring Bombardier,2009-09-19,Marksman
Katarina,the Sinister Blade,2009-09-19,Assassin
Nasus,the Curator of the Sands,2009-10-01,Juggernaut
Heimerdinger,the Revered Inventor,2009-10-10,Specialist
Shaco,the Demon Jester,2009-10-10,Assassin
Udyr,the Spirit Walker,2009-12-02,Juggernaut
Nidalee,the Bestial Huntress,2009-12-17,Specialist
Poppy,Keeper of the Hammer,2010-01-13,Warden
Gragas,the Rabble Rouser,2010-02-02,Vanguard
Pantheon,the Unbreakable Spear,2010-02-02,Diver
Mordekaiser,the Iron Revenant,2010-02-24,Juggernaut
Ezreal,the Prodigal Explorer,2010-03-16,Marksman
Shen,the Eye of Twilight,2010-03-24,Warden
Kennen,the Heart of the Tempest,2010-04-08,Specialist
Garen,The Might of Demacia,2010-04-27,Juggernaut
Akali,the Rogue Assassin,2010-05-11,Assassin
Malzahar,the Prophet of the Void,2010-06-01,Battlemage
Olaf,the Berserker,2010-06-09,Diver
Kog'Maw,the Mouth of the Abyss,2010-06-24,Marksman
Xin Zhao,the Seneschal of Demacia,2010-07-13,Diver
Vladimir,the Crimson Reaper,2010-07-27,Battlemage
Galio,the Colossus,2010-08-10,Warden
Urgot,the Dreadnought,2010-08-24,Juggernaut
Miss Fortune,the Bounty Hunter,2010-09-08,Marksman
Sona,Maven of the Strings,2010-09-21,Enchanter
Swain,the Noxian Grand General,2010-10-05,Battlemage
Lux,the Lady of Luminosity,2010-10-19,Burst+Artillery
LeBlanc,the Deceiver,2010-11-02,Burst
Irelia,the Blade Dancer,2010-11-16,Diver
Trundle,the Troll King,2010-12-01,Juggernaut
Cassiopeia,the Serpent's Embrace,2010-12-14,Battlemage
Caitlyn,the Sheriff of Piltover,2011-01-04,Marksman
Renekton,the Butcher of the Sands,2011-01-18,Diver
Karma,the Enlightened One,2011-02-01,Burst+Enchanter
Maokai,the Twisted Treant,2011-02-16,Vanguard
Jarvan IV,the Exemplar of Demacia,2011-03-01,Diver
Nocturne,the Eternal Nightmare,2011-03-15,Assassin
Lee Sin,the Blind Monk,2011-04-01,Diver
Brand,the Burning Vengeance,2011-04-12,Burst
Rumble,the Mechanized Menace,2011-04-26,Battlemage
Vayne,the Night Hunter,2011-05-10,Marksman
Orianna,the Lady of Clockwork,2011-06-01,Burst
Yorick,Shepherd of Souls,2011-06-22,Juggernaut
Leona,the Radiant Dawn,2011-07-13,Vanguard
Wukong,the Monkey King,2011-07-26,Diver
Skarner,the Crystal Vanguard,2011-08-09,Diver
Talon,the Blade's Shadow,2011-08-24,Assassin
Riven,the Exile,2011-09-14,Skirmisher
Xerath,the Magus Ascendant,2011-10-05,Artillery
Graves,the Outlaw,2011-10-19,Specialist
Shyvana,the Half-Dragon,2011-11-01,Juggernaut
Fizz,the Tidal Trickster,2011-11-15,Assassin
Volibear,the Relentless Storm,2011-11-29,Juggernaut
Ahri,the Nine-Tailed Fox,2011-12-14,Burst
Viktor,the Machine Herald,2011-12-29,Battlemage
Sejuani,Fury of the North,2012-01-17,Vanguard
Ziggs,the Hexplosives Expert,2012-02-01,Artillery
Nautilus,the Titan of the Depths,2012-02-14,Vanguard
Fiora,the Grand Duelist,2012-02-29,Skirmisher
Lulu,the Fae Sorceress,2012-03-20,Enchanter
Hecarim,the Shadow of War,2012-04-18,Diver
Varus,the Arrow of Retribution,2012-05-08,Marksman+Artillery
Darius,the Hand of Noxus,2012-05-23,Juggernaut
Draven,the Glorious Executioner,2012-06-06,Marksman
Jayce,the Defender of Tomorrow,2012-07-07,Artillery
Zyra,Rise of the Thorns,2012-07-24,Catcher
Diana,Scorn of the Moon,2012-08-07,Assassin+Diver
Rengar,the Pridestalker,2012-08-21,Assassin+Diver
Syndra,the Dark Sovereign,2012-09-13,Burst
Kha'Zix,the Voidreaver,2012-09-27,Assassin
Elise,the Spider Queen,2012-10-26,Diver
Zed,the Master of Shadows,2012-11-13,Assassin
Nami,the Tidecaller,2012-12-07,Enchanter
Vi,the Piltover Enforcer,2012-12-19,Diver
Thresh,the Chain Warden,2013-01-23,Catcher
Quinn,Demacia's Wings,2013-03-01,Specialist
Zac,the Secret Weapon,2013-03-29,Vanguard
Lissandra,the Ice Witch,2013-04-30,Burst
Aatrox,the Darkin Blade,2013-06-13,Juggernaut
Lucian,the Purifier,2013-08-22,Marksman
Jinx,the Loose Cannon,2013-10-10,Marksman
Yasuo,the Unforgiven,2013-12-13,Skirmisher
Vel'Koz,the Eye of the Void,2014-02-27,Artillery
Braum,the Heart of the Freljord,2014-05-12,Warden
Gnar,the Missing Link,2014-08-14,Specialist
Azir,the Emperor of the Sands,2014-09-16,Specialist
Kalista,the Spear of Vengeance,2014-11-20,Marksman
Rek'Sai,the Void Burrower,2014-12-11,Diver
Bard,the Wandering Caretaker,2015-03-12,Catcher
Ekko,the Boy Who Shattered Time,2015-05-29,Assassin
Tahm Kench,The River King,2015-07-09,Warden
Kindred,The Eternal Hunters,2015-10-14,Marksman
Illaoi,the Kraken Priestess,2015-11-24,Juggernaut
Jhin,the Virtuoso,2016-02-01,Marksman+Catcher
Aurelion Sol,The Star Forger,2016-03-24,Battlemage
Taliyah,the Stoneweaver,2016-05-18,Battlemage
Kled,the Cantankerous Cavalier,2016-08-10,Skirmisher
Ivern,the Green Father,2016-10-05,Catcher
Camille,the Steel Shadow,2016-12-07,Diver
Rakan,The Charmer,2017-04-19,Catcher
Xayah,the Rebel,2017-04-19,Marksman
Kayn,the Shadow Reaper,2017-07-12,Skirmisher
Ornn,The Fire below the Mountain,2017-08-23,Vanguard
Zoe,the Aspect of Twilight,2017-11-21,Burst
Kai'Sa,Daughter of the Void,2018-03-07,Marksman
Pyke,the Bloodharbor Ripper,2018-05-31,Assassin+Catcher
Neeko,the Curious Chameleon,2018-12-05,Burst+Catcher
Sylas,the Unshackled,2019-01-25,Burst+Skirmisher
Yuumi,the Magical Cat,2019-05-14,Enchanter
Qiyana,Empress of the Elements,2019-06-28,Assassin
Senna,the Redeemer,2019-11-10,Marksman+Enchanter
Aphelios,the Weapon of the Faithful,2019-12-11,Marksman
Sett,the Boss,2020-01-14,Juggernaut
Lillia,the Bashful Bloom,2020-07-22,Skirmisher
Yone,the Unforgotten,2020-08-06,Assassin+Skirmisher
Samira,the Desert Rose,2020-09-21,Marksman
Seraphine,the Starry-Eyed Songstress,2020-10-29,Burst+Enchanter
Rell,the Iron Maiden,2020-12-10,Vanguard
Viego,The Ruined King,2021-01-21,Skirmisher
Gwen,The Hallowed Seamstress,2021-04-15,Skirmisher
Akshan,the Rogue Sentinel,2021-07-22,Marksman+Assassin
Vex,the Gloomist,2021-09-23,Burst
Zeri,The Spark of Zaun,2022-01-20,Marksman
Renata Glasc,the Chem-Baroness,2022-02-17,Enchanter
Bel'Veth,the Empress of the Void,2022-06-09,Skirmisher
Nilah,the Joy Unbound,2022-07-13,Skirmisher
K'Sante,The Pride of Nazumah,2022-11-02,Warden+Skirmisher
Milio,The Gentle Flame,2023-03-23,Enchanter
